DiseaseName	Hit_Minimum_HPO	Hit_Minimum_HPO_Freq	Enrich_ObservedHPO_pvalue_Bonf	Enrich_GeneHPO_pvalue_Bonf	Enrich_observeHPO_score	Enrich_GeneHPO_score	Score_max	Score_total	HPO_geneImpact_group	VarFreq_Group	Population_Freq	Effect_Impact	Disease_Inheritance	Genotype	Pathogenic_Gene	Amino_Change	Effect	VarFreq	Clinvar_latest_evidence	Interaction_variantGenes	Disease_AncestorHPO_Count	Query_observedAncestorHPO_Count	Hit_observedHPO_Count	Query_Ancestor_GeneHPO_Count	Hit_GeneHPO_Count	Enrich_ObservedHPO_pvalue	Enrich_GeneHPO_pvalue	Hit_observedHPO	Hit_geneHPO	Hit_observedAncestorHPO	Hit_geneAncestorHPO
OMIM:256550	HP:0001350	0.00228671943711522	8.238355964411064e-36	1.0	35.08415944688531	0.0	35.08415944688531	35.08415944688531	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	136	39	25	1	0	1.4491391318225266e-39	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0001626;HP:0001871;HP:0001939;HP:0002715;HP:0025031;HP:0000234;HP:0000271;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0100763;HP:0001743;HP:0001350;HP:0001392;HP:0410042;HP:0002012;HP:0003271;HP:0025408;HP:0001438;HP:0002597	NA
OMIM:160120	HP:0001350	0.00228671943711522	8.492256406135108e-15	1.0	14.070976901683558	0.0	14.070976901683558	14.070976901683558	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	59	39	11	1	0	1.4938005991442584e-18	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0001939;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001288;HP:0001350;HP:0032180	NA
OMIM:617308	HP:0001350	0.00228671943711522	6.188538349521067e-14	1.0	13.20841191345091	0.0	13.20841191345091	13.20841191345091	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	48	39	10	1	0	1.0885731485525183e-17	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0001939;HP:0025031;HP:0012638;HP:0011442;HP:0011443;HP:0001350;HP:0032180	NA
OMIM:619323	HP:0001350	0.00228671943711522	3.3026821573802844e-13	1.0	12.481133219810808	0.0	12.481133219810808	12.481133219810808	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	111	39	12	1	0	5.80946729530393e-17	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0000234;HP:0000271;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001288;HP:0001350	NA
OMIM:230650	HP:0001350	0.00228671943711522	3.971666852270241e-13	1.0	12.401027187741777	0.0	12.401027187741777	12.401027187741777	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	82	39	11	1	0	6.986221376025051e-17	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0001626;HP:0001939;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001350;HP:0002597	NA
OMIM:618855	HP:0001350	0.00228671943711522	5.75107962259507e-13	1.0	12.240250619636791	0.0	12.240250619636791	12.240250619636791	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	59	39	10	1	0	1.0116235044142604e-16	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0001626;HP:0001939;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001350	NA
OMIM:613227	HP:0001350	0.00228671943711522	2.583418732102673e-12	1.0	11.587805195722536	0.0	11.587805195722536	11.587805195722536	1	0	1.0	NA	recessive	NA	NA	NA	NA	0.0	NA	NA	28	39	8	1	0	4.544272176082099e-16	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001350	NA
OMIM:616831	HP:0001350	0.00228671943711522	1.0986529362429905e-11	1.0	10.959139479259358	0.0	10.959139479259358	10.959139479259358	1	0	1.0	NA	dominant	NA	NA	NA	NA	0.0	NA	NA	148	39	12	1	0	1.932546941500423e-15	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000152;HP:0000707;HP:0002715;HP:0000234;HP:0000271;HP:0000366;HP:0012638;HP:0011442;HP:0011443;HP:0001350	NA
OMIM:206700	HP:0001350	0.00228671943711522	2.9456561312791254e-10	1.0	9.530817953014246	0.0	9.530817953014246	9.530817953014246	1	0	1.0	NA	dominant;recessive	NA	NA	NA	NA	0.0	NA	NA	48	39	8	1	0	5.1814531772719884e-14	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0012638;HP:0011442;HP:0100022;HP:0011443;HP:0001350	NA
OMIM:300100	HP:0001350	0.00228671943711522	9.606101490081347e-10	1.0	9.017452829278417	0.0	9.017452829278417	9.017452829278417	1	0	1.0	NA	X-linked recessive	NA	NA	NA	NA	0.0	NA	NA	121	39	10	1	0	1.6897276147900347e-13	1.0	HP:0001350	NA	HP:0000001;HP:0000118;HP:0000707;HP:0001939;HP:0025031;HP:0012638;HP:0011442;HP:0011443;HP:0001350;HP:0032180	NA
